samp	SRR
1_19	SRR5860601
1_5	SRR5860600
1_6	SRR5860598
1_7	SRR5860649
2_11	SRR5860596
2_14	SRR5860599
2_6	SRR5860593
2_8	SRR5860603
3_16	SRR5860602
3_2	SRR5860590
3_23	SRR5860655
4_21	SRR5860647
Abidjan_12	SRR5860586
Airport_16_5	SRR5860591
Anton_1_Principe	SRR5860651
Anton_2_Principe	SRR5860585
BAR_1000_2	SRR5860579
BIOKO_NE_4_6	SRR5860595
Bosu_1235_14	SRR5860646
Cascade_18	SRR5860592
Cascade_19_16	SRR5860604
Cascade_21	SRR5860578
Cascade_SN6_1	SRR5860588
COST_1235_2	SRR5860650
COST_1235_3	SRR5860597
Montecafe_17_17	SRR5860587
OBAT_1200_5	SRR5860589
SA_3	SRR5860652
SanTome_city_14_26	SRR5860574
SJ_1	SRR5860575
SJ14	SRR5860653
SJ4	SRR5860654
SJ7	SRR5860594
SN_Cascade_22	SRR5860581
SN7	SRR5860580
Tai_18	SRR5860648
